Filename,255_Pixel_Ratio,Percentage,Saved
L2016116.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.411702,41.17,No
L2016117.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016118.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.001415,0.14,Yes
L2016119.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016120.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016121.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.387762,38.78,No
L2016122.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.411216,41.12,No
L2016123.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.371995,37.20,No
L2016124.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016125.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.387537,38.75,No
L2016126.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.063191,6.32,Yes
L2016127.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.020226,2.02,Yes
L2016128.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016129.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.181165,18.12,Yes
L2016130.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.183473,18.35,Yes
L2016131.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.376960,37.70,No
L2016132.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016133.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.331915,33.19,No
L2016134.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.115332,11.53,Yes
L2016135.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.404743,40.47,No
L2016136.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016137.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.139055,13.91,Yes
L2016138.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.232656,23.27,Yes
L2016139.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.194741,19.47,Yes
L2016140.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016141.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.086509,8.65,Yes
L2016142.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.404327,40.43,No
L2016143.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.356978,35.70,No
L2016144.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016145.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.006964,0.70,Yes
L2016146.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.079950,7.99,Yes
L2016147.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016148.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.409962,41.00,No
L2016149.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.192081,19.21,Yes
L2016150.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.368692,36.87,No
L2016151.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016152.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.408252,40.83,No
L2016153.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.063743,6.37,Yes
